 452  17:04:29  25/08/03        doc op - C:\mythos\gpg4_sample\levels\pacman.xml loaded from [pacman.xml022]                 554  C:\mythos\gpg4_sample\RTTIPropsDoc.cpp
 451  17:04:29  25/08/03         3d op - display view from [default camera]                                                  357  C:\mythos\gpg4_sample\3DView.cpp
 265  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D6570                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 264  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D6790                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 263  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16D9B10                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 262  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CD8A0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 261  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CDE50                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 260  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C8420                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 259  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C8980                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 258  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CA070                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 257  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CAC60                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 256  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CBEF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 255  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C4480                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 254  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C7020                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 253  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C9350                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 252  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C9950                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 251  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16C9EC0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 250  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CCDE0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 249  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16EF460                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 248  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16EFA10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 247  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16EEAD0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 246  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16EC100                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 245  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5110                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 244  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5310                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 243  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5510                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 242  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5B10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 241  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D5D10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 240  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4130                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 239  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4330                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 238  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4530                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 237  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4730                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 236  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4930                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 235  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4B30                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 234  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4D30                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 233  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D4EF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 232  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3150                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 231  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3550                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 230  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3950                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 229  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D3D50                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 228  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2170                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 227  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2370                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 226  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2570                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 225  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2970                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 224  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2B70                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 223  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2D70                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 222  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1190                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 221  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1390                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 220  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1590                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 219  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1790                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 218  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1990                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 217  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1B90                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 216  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1D90                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 215  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D1EF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 214  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D01B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 213  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D03B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 212  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D05B0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 211  17:04:29  25/08/03     data file - class: CEngineMaterial  id: 0x16D9BE0                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 210  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16CC690                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 209  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16CB3C0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 208  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D5910                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 207  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D9D30                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 206  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16D9EF0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 205  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D8140                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 204  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D8340                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 203  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D8540                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 202  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D8740                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 201  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FD7F0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 200  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FDD70                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 199  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FC2C0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 198  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FC880                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 197  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FCE00                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 196  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FB3A0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 195  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FB920                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 194  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FA150                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 193  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16FADA0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 192  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F8600                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 191  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F8BA0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 190  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F8F30                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 189  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F0880                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 188  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F0B40                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 187  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F0BA0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 186  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16F0F30                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 185  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16ED0E0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 184  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16EE120                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 183  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16EC940                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 182  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16ECEB0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 181  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16E06C0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 180  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16DE9E0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 179  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16C4040                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 178  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16C6780                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 177  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D7330                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 176  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D22F0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 175  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D4240                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 174  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D3260                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 173  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D3860                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 172  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D02D0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 171  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16C7BD0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 170  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16CBA40                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 169  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16C4400                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 168  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D8920                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 167  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D8A50                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 166  17:04:29  25/08/03     data file - class: CEditorSphere  id: 0x16D8B80                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 165  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16D2AC0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 164  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16C2B10                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 163  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16D8CB0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 162  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16D8E10                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 161  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16D8F70                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 160  17:04:29  25/08/03     data file - class: CEditorCamera  id: 0x16C7130                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 159  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16C6620                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 158  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CEBB0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 157  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16EE790                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 156  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C68D0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 155  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16CF8F0                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 154  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D7290                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 153  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16D7400                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 152  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16D7510                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 151  17:04:29  25/08/03     data file - class: CEditorMaterial  id: 0x16D7620                                               766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 150  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D6460                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 149  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D68C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 148  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16D69D0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 147  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D6AE0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 146  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D6C10                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 145  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D6D40                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 144  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D6E70                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 143  17:04:29  25/08/03     data file - class: CEditorBox  id: 0x16D6FA0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 142  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16D7030                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 141  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16C2930                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 140  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16D0750                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 139  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16D0CF0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 138  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16D0EC0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 137  17:04:29  25/08/03     data file - class: CEngineCamera  id: 0x16D0B20                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 136  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D2EF0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 135  17:04:29  25/08/03     data file - class: CEngineSphere  id: 0x16C7A10                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 134  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16D0980                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 133  17:04:29  25/08/03     data file - class: CEngineBox  id: 0x16CF3F0                                                    766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 132  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FD630                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 131  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FDBB0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 130  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FC5B0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 129  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FCB10                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 128  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FB0D0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 127  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FB650                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 126  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FBBD0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 125  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FBEB0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 124  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16FA780                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 123  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F95E0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 122  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F8E10                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 121  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F8D50                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 120  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F1DA0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 119  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F0340                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 118  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F0E50                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 117  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16F0D50                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 116  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EDDB0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 115  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EE0B0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 114  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16EC8D0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 113  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16ED160                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 112  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16E0E00                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 111  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D9AA0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 110  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C6F90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 109  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C5F20                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 108  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D63A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 107  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D28A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 106  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D5C80                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 105  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D6500                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 104  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D0E30                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 103  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D44A0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 102  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C7B60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 101  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16C9E80                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
 100  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CAD70                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  99  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C6860                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  98  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CF5C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  97  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CF720                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  96  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CF880                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  95  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16CF990                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  94  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16D0C60                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  93  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C2AA0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  92  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CFA90                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  91  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CFBF0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  90  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CFD50                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  89  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CFEB0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  88  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16CFFC0                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  87  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16C6460                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  86  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16ED070                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  85  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CCB20                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  84  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CE130                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  83  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CE290                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  82  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CE3F0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  81  17:04:29  25/08/03     data file - class: CEditorFolder  id: 0x16CE500                                                 766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  80  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CE6C0                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
  79  17:04:29  25/08/03     data file - class: CEditorSceneItem  id: 0x16CE820                                              766  C:\mythos\gpg4_sample\PropSystem\Persistent.cpp
